Genome	D1_P102_M Read Count	D1_P102_M Covered Fraction	D1_P102_M Length	D1_P107_M Read Count	D1_P107_M Covered Fraction	D1_P107_M Length	D1_P167_M Read Count	D1_P167_M Covered Fraction	D1_P167_M Length	D1_P225_M Read Count	D1_P225_M Covered Fraction	D1_P225_M Length	D1_P295_M Read Count	D1_P295_M Covered Fraction	D1_P295_M Length	D1_P304_M Read Count	D1_P304_M Covered Fraction	D1_P304_M Length	D1_P46_M Read Count	D1_P46_M Covered Fraction	D1_P46_M Length	D1_P47_M Read Count	D1_P47_M Covered Fraction	D1_P47_M Length	D3_P186_M Read Count	D3_P186_M Covered Fraction	D3_P186_M Length	D3_P190_M Read Count	D3_P190_M Covered Fraction	D3_P190_M Length	D3_P191_M Read Count	D3_P191_M Covered Fraction	D3_P191_M Length	D3_P265_M Read Count	D3_P265_M Covered Fraction	D3_P265_M Length	D3_P266_M Read Count	D3_P266_M Covered Fraction	D3_P266_M Length	D3_P41_M Read Count	D3_P41_M Covered Fraction	D3_P41_M Length	D3_P75_M Read Count	D3_P75_M Covered Fraction	D3_P75_M Length	D3_P9_M Read Count	D3_P9_M Covered Fraction	D3_P9_M Length	G1_P178_M Read Count	G1_P178_M Covered Fraction	G1_P178_M Length	G1_P196_M Read Count	G1_P196_M Covered Fraction	G1_P196_M Length	G1_P276_M Read Count	G1_P276_M Covered Fraction	G1_P276_M Length	G1_P291_M Read Count	G1_P291_M Covered Fraction	G1_P291_M Length	G1_P294_M Read Count	G1_P294_M Covered Fraction	G1_P294_M Length	G1_P43_M Read Count	G1_P43_M Covered Fraction	G1_P43_M Length	G1_P74_M Read Count	G1_P74_M Covered Fraction	G1_P74_M Length	G1_P82_M Read Count	G1_P82_M Covered Fraction	G1_P82_M Length	G3_P143_M Read Count	G3_P143_M Covered Fraction	G3_P143_M Length	G3_P149_M Read Count	G3_P149_M Covered Fraction	G3_P149_M Length	G3_P14_M Read Count	G3_P14_M Covered Fraction	G3_P14_M Length	G3_P179_M Read Count	G3_P179_M Covered Fraction	G3_P179_M Length	G3_P212_M Read Count	G3_P212_M Covered Fraction	G3_P212_M Length	G3_P261_M Read Count	G3_P261_M Covered Fraction	G3_P261_M Length	G3_P301_M Read Count	G3_P301_M Covered Fraction	G3_P301_M Length	G3_P84_M Read Count	G3_P84_M Covered Fraction	G3_P84_M Length
all_samples_bin.227	5	0.00038429454	1951628	8	0.00023057673	1951628	7	0.00027669207	1951628	95	0.002349833	1951628	4	0.00022391562	1951628	85	0.002527121	1951628	6	0.00034125356	1951628	525	0.029704431	1951628	416	0.02507189	1951628	17	0.00090795994	1951628	15	0.00055389653	1951628	14	0.00073579594	1951628	412	0.025202036	1951628	2822	0.10815125	1951628	265407	0.9984971	1951628	1405	0.027104039	1951628	7	0.00029872498	1951628	1884	0.087961435	1951628	37	0.0013573284	1951628	9	0.00044270733	1951628	35	0.0005769542	1951628	797	0.041932173	1951628	7894	0.26762682	1951628	77	0.0035749641	1951628	29	0.00008249523	1951628	7	0.00018036224	1951628	18	0.0007803741	1951628	3	0.00013527168	1951628	498	0.029386748	1951628	6	0.00038275737	1951628	696	0.04014751	1951628	2189	0.086873114	1951628
all_samples_bin.228	419	0.020155706	1708350	1291	0.062620655	1708350	1934	0.10254749	1708350	468	0.020623993	1708350	11910	0.4884479	1708350	2062	0.05569292	1708350	1067	0.048154652	1708350	568	0.0264015	1708350	732	0.036782276	1708350	2574	0.13524571	1708350	501	0.025682677	1708350	1026	0.053573918	1708350	1767	0.08539058	1708350	4167	0.1461457	1708350	1736	0.0782205	1708350	1784	0.08003219	1708350	1569	0.07786109	1708350	8110	0.32835835	1708350	4690	0.19612257	1708350	97200	0.98738605	1708350	69122	0.953266	1708350	69074	0.96015453	1708350	203	0.012335294	1708350	156571	0.990955	1708350	380	0.021960957	1708350	43237	0.8130606	1708350	7867	0.07744783	1708350	76686	0.9640097	1708350	1337	0.06590512	1708350	160439	0.99493253	1708350	3519	0.16648169	1708350	580	0.024816928	1708350
all_samples_bin.229	43005	0.70171446	2161781	3065	0.11461984	2161781	13154	0.44571814	2161781	35059	0.71005297	2161781	20392	0.49814066	2161781	59087	0.83056146	2161781	4805	0.13924722	2161781	94096	0.88120353	2161781	26108	0.55524266	2161781	38184	0.72174287	2161781	8318	0.21297301	2161781	4591	0.17604604	2161781	8679	0.3089559	2161781	37048	0.41137978	2161781	5770	0.17528372	2161781	21675	0.41374588	2161781	223081	0.95412254	2161781	737516	0.96770394	2161781	214737	0.9622372	2161781	55098	0.8511093	2161781	311847	0.96900886	2161781	475240	0.96622324	2161781	52836	0.8149868	2161781	143735	0.95606124	2161781	25296	0.61457473	2161781	75249	0.9085342	2161781	3816	0.080361515	2161781	83392	0.8998187	2161781	22060	0.5711383	2161781	82906	0.91719973	2161781	14795	0.4650152	2161781	15366	0.41535705	2161781
all_samples_bin.22	252	0.02737486	791310	1765	0.15916897	791310	139	0.017594874	791310	6853	0.4740721	791310	31163	0.95419365	791310	8165	0.5440371	791310	12381	0.6610153	791310	337	0.032031693	791310	2641	0.22313127	791310	1753	0.17309146	791310	5858	0.41273078	791310	76	0.010308223	791310	10555	0.65839934	791310	371	0.031709444	791310	371	0.037720993	791310	3634	0.2854861	791310	376	0.036942538	791310	16010	0.7598274	791310	1617	0.14345832	791310	1298	0.1359543	791310	930	0.08935815	791310	3594	0.30837977	791310	991	0.08681806	791310	1968	0.16591096	791310	2011	0.16032276	791310	5879	0.35919046	791310	19642	0.8635743	791310	319	0.03321707	791310	8078	0.4800622	791310	1096	0.11899761	791310	3287	0.31479824	791310	1374	0.117266305	791310
all_samples_bin.230	59	0.0015610147	1569492	567	0.030734148	1569492	244	0.014630849	1569492	8106	0.32433933	1569492	58639	0.93762374	1569492	10627	0.40992945	1569492	1110	0.04849276	1569492	2914	0.13538584	1569492	643	0.027825564	1569492	232	0.011011207	1569492	11094	0.3920243	1569492	4187	0.20366909	1569492	9000	0.39074937	1569492	1207	0.05747592	1569492	485	0.025484042	1569492	1571	0.07025076	1569492	1920	0.09143723	1569492	593	0.024355652	1569492	1269	0.059303902	1569492	41888	0.8864295	1569492	610	0.028730953	1569492	5867	0.25583884	1569492	681	0.029611493	1569492	19710	0.62243325	1569492	4756	0.18541285	1569492	673	0.012172092	1569492	1592	0.07020361	1569492	4299	0.18970023	1569492	728	0.031273812	1569492	2583	0.11561958	1569492	2172	0.112696975	1569492	1231	0.047074467	1569492
all_samples_bin.231	581	0.007073289	2142285	112	0.002015138	2142285	99	0.0020972933	2142285	1419	0.045566298	2142285	5233	0.049732413	2142285	2303	0.00778888	2142285	720	0.005336358	2142285	70	0.0014456527	2142285	743	0.0107567385	2142285	61	0.001992732	2142285	63	0.0013368903	2142285	37	0.0009354498	2142285	107	0.0018606301	2142285	519	0.006403443	2142285	241	0.0036885848	2142285	425	0.008836826	2142285	326	0.0049232477	2142285	776	0.0045484146	2142285	1620	0.04598921	2142285	13359	0.016445525	2142285	27711	0.64045584	2142285	1655	0.0047542695	2142285	114	0.0033244877	2142285	1332	0.00734216	2142285	2201	0.04755156	2142285	411392	0.99977314	2142285	15056	0.013212995	2142285	10048	0.040432528	2142285	697	0.00469312	2142285	8296	0.015851766	2142285	12498	0.01178508	2142285	1711	0.009381572	2142285
all_samples_bin.232	37449	0.67601097	2408952	6229	0.20068437	2408952	4401	0.1791883	2408952	61240	0.82247925	2408952	627059	0.9973715	2408952	108697	0.9430142	2408952	38300	0.6264699	2408952	9030	0.23685154	2408952	2856	0.08325612	2408952	960	0.03319161	2408952	1315	0.05483214	2408952	1432	0.047473755	2408952	9735	0.2692897	2408952	44632	0.6362352	2408952	13523	0.33320174	2408952	8291	0.20256983	2408952	12054	0.31328478	2408952	29418	0.5815052	2408952	23422	0.4698014	2408952	355095	0.99539095	2408952	57319	0.8283764	2408952	129539	0.952119	2408952	2506	0.09895465	2408952	20083	0.44228402	2408952	42211	0.6706601	2408952	275929	0.98001415	2408952	471616	0.9823409	2408952	16531	0.26828057	2408952	29384	0.5566342	2408952	226910	0.9938924	2408952	732576	0.9980236	2408952	42500	0.6211299	2408952
all_samples_bin.233	177	0.005444509	2629622	1173	0.03808418	2629622	2768	0.103802755	2629622	1019	0.041020725	2629622	1448	0.055797752	2629622	6769	0.18557116	2629622	1132	0.03466506	2629622	948	0.031245556	2629622	462	0.015999638	2629622	1574	0.052546717	2629622	3403	0.09057994	2629622	1355	0.045260116	2629622	532	0.018816393	2629622	2501	0.06688148	2629622	2722	0.08613823	2629622	1486	0.0470406	2629622	9847	0.28325933	2629622	21281	0.5213757	2629622	2698	0.081999235	2629622	89402	0.9274071	2629622	74715	0.83013564	2629622	15507	0.41413936	2629622	197	0.007447078	2629622	62671	0.7463012	2629622	12129	0.31963834	2629622	357215	0.99371547	2629622	822	0.029594747	2629622	3210	0.10388794	2629622	10114	0.2848014	2629622	84499	0.9144147	2629622	806	0.02951755	2629622	78	0.0019706255	2629622
all_samples_bin.234	4274	0.13565299	1978460	1146	0.04215046	1978460	969	0.05066466	1978460	4885	0.16435713	1978460	28229	0.5611435	1978460	29178	0.56745905	1978460	7150	0.18526986	1978460	1688	0.055278853	1978460	717	0.030536883	1978460	268	0.01295452	1978460	270	0.011591339	1978460	439	0.018533101	1978460	2669	0.10072026	1978460	7291	0.15647018	1978460	3744	0.12574376	1978460	3376	0.10577217	1978460	1438	0.041857302	1978460	11628	0.31119204	1978460	24599	0.41858768	1978460	69737	0.81326437	1978460	8628	0.18555543	1978460	7393	0.2140675	1978460	243	0.009694409	1978460	12607	0.33334664	1978460	5974	0.14909627	1978460	27528	0.5047941	1978460	4428	0.031565964	1978460	2324	0.031088827	1978460	6149	0.14216714	1978460	107089	0.9573552	1978460	120884	0.9789124	1978460	2360	0.039686423	1978460
all_samples_bin.235	4986	0.20989606	1690289	31782	0.7996804	1690289	16427	0.62121445	1690289	189235	0.96392864	1690289	4077528	0.98788077	1690289	1690899	0.98763996	1690289	62196	0.88917756	1690289	7163	0.25029567	1690289	2774	0.15055	1690289	15883	0.6095762	1690289	264153	0.95700264	1690289	9969	0.44408855	1690289	14349	0.5515027	1690289	16192	0.61870724	1690289	5700	0.24807237	1690289	11375	0.49454027	1690289	8102	0.25579828	1690289	39462	0.80084705	1690289	21792	0.6281837	1690289	1628748	0.98127955	1690289	311904	0.98043823	1690289	617323	0.9816363	1690289	1786	0.10279485	1690289	3568681	0.9849298	1690289	422788	0.9672417	1690289	185512	0.97033405	1690289	175220	0.9633193	1690289	5150942	0.9910974	1690289	60604	0.8749048	1690289	1413474	0.98627156	1690289	96009	0.9608564	1690289	35664	0.62275976	1690289
all_samples_bin.236	6735	0.17137815	2524505	5885	0.18243259	2524505	3790	0.14521737	2524505	10886	0.26056632	2524505	74697	0.88299805	2524505	68391	0.8502451	2524505	11975	0.2511249	2524505	4066	0.10962149	2524505	6117	0.1573259	2524505	1802	0.06341243	2524505	2229	0.08340289	2524505	1853	0.06188025	2524505	2348	0.07313315	2524505	7162	0.20513447	2524505	5373	0.14173788	2524505	3288	0.09615549	2524505	7484	0.20644166	2524505	17060	0.40784588	2524505	6008	0.13603261	2524505	993533	0.9947962	2524505	18178	0.4149863	2524505	28583	0.56930447	2524505	539	0.012670603	2524505	321548	0.99068254	2524505	24189	0.46351463	2524505	82156	0.8948574	2524505	37351	0.09725867	2524505	258431	0.9750494	2524505	10213	0.2591213	2524505	419451	0.9916903	2524505	472632	0.99242425	2524505	8993	0.16104187	2524505
all_samples_bin.237	220	0.008508708	2405653	1532	0.0673684	2405653	1940	0.037780177	2405653	184	0.0036031797	2405653	1734	0.07639381	2405653	994	0.040404	2405653	3958	0.14092848	2405653	1112	0.034552366	2405653	131	0.0039120354	2405653	617	0.017845467	2405653	2526	0.09012896	2405653	991	0.027604563	2405653	493	0.01920518	2405653	1015456	0.97459733	2405653	765	0.019348593	2405653	25632	0.5869379	2405653	1396	0.05208856	2405653	161	0.0017899505	2405653	2019	0.06610471	2405653	2191	0.08778323	2405653	715	0.011716985	2405653	961	0.04168806	2405653	2600	0.08048833	2405653	238186	0.93576795	2405653	565	0.003848851	2405653	1293	0.05210228	2405653	26	0.00074657483	2405653	48	0.0021927517	2405653	142110	0.888444	2405653	2332	0.093269475	2405653	715	0.03217006	2405653	1536	0.05752118	2405653
all_samples_bin.238	297	0.0052092248	1717530	111	0.0044039986	1717530	148	0.0052505634	1717530	131	0.005402526	1717530	664	0.02650667	1717530	527	0.00892852	1717530	150	0.0044616396	1717530	292	0.0050432887	1717530	374	0.012612298	1717530	280	0.00425553	1717530	432	0.005833377	1717530	59	0.0018153976	1717530	176	0.008929684	1717530	538	0.010704908	1717530	653	0.02680943	1717530	536	0.006474414	1717530	2287	0.026110752	1717530	452	0.0062997444	1717530	1047	0.029305456	1717530	11973	0.46465796	1717530	139977	0.99814445	1717530	708	0.007587058	1717530	318	0.018219769	1717530	3311	0.014642539	1717530	100	0.0042019645	1717530	11330	0.30732796	1717530	762	0.025547734	1717530	1762	0.022715177	1717530	662	0.008548322	1717530	2311	0.014535991	1717530	1098	0.010165179	1717530	70	0.002095451	1717530
all_samples_bin.239	13152	0.40478262	1951608	4527	0.16769454	1951608	1720	0.09092707	1951608	20318	0.5398548	1951608	81392	0.9621681	1951608	110340	0.9709614	1951608	53120	0.80921936	1951608	10784	0.3290543	1951608	1079	0.04167128	1951608	8655	0.33885902	1951608	987	0.05720616	1951608	354	0.014234416	1951608	2240	0.093799576	1951608	9920	0.2754129	1951608	2364	0.09270253	1951608	2148	0.0806663	1951608	7513	0.2649031	1951608	12776	0.40122452	1951608	20973	0.51505834	1951608	101051	0.9726431	1951608	69010	0.91341907	1951608	12468	0.38218227	1951608	3131	0.15406834	1951608	26615	0.6434653	1951608	14007	0.40264848	1951608	91287	0.92164	1951608	578960	0.99716437	1951608	5680	0.20114388	1951608	64241	0.87011325	1951608	151786	0.9879064	1951608	274845	0.99559546	1951608	24169	0.53618145	1951608
all_samples_bin.23	62899	0.9256312	1610784	10175	0.41106257	1610784	119	0.008437506	1610784	4473	0.19886714	1610784	10981	0.45224127	1610784	15664	0.5325481	1610784	6928	0.24724606	1610784	48130	0.8971482	1610784	2354	0.1131151	1610784	1083	0.06048359	1610784	2327	0.11223355	1610784	2517	0.13449848	1610784	697	0.044434883	1610784	391	0.021582657	1610784	5759	0.28081107	1610784	3549	0.16544862	1610784	84148	0.96791935	1610784	27966	0.74898744	1610784	77	0.0038298122	1610784	67025	0.8969142	1610784	2321	0.12063691	1610784	5296	0.24918053	1610784	1934	0.07387583	1610784	657	0.023157667	1610784	10113	0.33201596	1610784	303	0.017795062	1610784	696	0.042400472	1610784	67244	0.9315079	1610784	7465	0.3143854	1610784	419	0.021830363	1610784	116	0.008284165	1610784	792	0.025485106	1610784
all_samples_bin.240	226	0.011212157	2375814	2161	0.05287535	2375814	2480	0.10701301	2375814	6	0.00022308144	2375814	66	0.002801987	2375814	3127	0.09675799	2375814	266	0.011993784	2375814	48684	0.8066044	2375814	97838	0.9193552	2375814	13	0.00055601995	2375814	0	0	2375814	270770	0.99514353	2375814	1015	0.043254226	2375814	70	0.0021251664	2375814	297	0.0143273	2375814	31348	0.69192034	2375814	6	0.0003009495	2375814	662	0.032688163	2375814	15	0.0004773101	2375814	7	0.00038807752	2375814	4	0.00018562059	2375814	622	0.032512225	2375814	3572	0.014247748	2375814	599	0.0322782	2375814	2	0.00012458887	2375814	0	0	2375814	13	0.00044910924	2375814	2	0.00012627251	2375814	5	0.00025254503	2375814	339	0.015783222	2375814	6	0.00027822042	2375814	908	0.009729718	2375814
all_samples_bin.241	13418	0.3792417	2258739	183	0.007525881	2258739	2025	0.084260285	2258739	7406	0.22603142	2258739	3662	0.13504791	2258739	14636	0.40807813	2258739	1546	0.043215707	2258739	3953	0.13080396	2258739	2409	0.07995966	2258739	1676	0.06401669	2258739	574	0.025747553	2258739	878	0.03607721	2258739	4784	0.166635	2258739	18884	0.4229931	2258739	6104	0.18977137	2258739	1489	0.052448735	2258739	612	0.031689364	2258739	77948	0.8951685	2258739	2227	0.07484131	2258739	34032	0.70224494	2258739	12065	0.36352673	2258739	45148	0.78139704	2258739	3462	0.11603156	2258739	172773	0.97568685	2258739	1345	0.03769537	2258739	14253	0.37668806	2258739	273184	0.9826713	2258739	11378	0.31822976	2258739	594	0.021262748	2258739	20137	0.5340958	2258739	1376	0.0564306	2258739	761	0.022562146	2258739
all_samples_bin.242	2594	0.033689536	3683102	603	0.015729675	3683102	3721	0.11780939	3683102	4046	0.013686832	3683102	169152	0.7781685	3683102	15080	0.026315046	3683102	2369	0.022499241	3683102	27139	0.0112541	3683102	1313	0.020727636	3683102	99	0.0023892904	3683102	1396	0.023224989	3683102	162	0.0035079126	3683102	688	0.013099013	3683102	3646	0.042929303	3683102	2943	0.082676776	3683102	11404	0.11472449	3683102	1342	0.017077181	3683102	4551	0.12496504	3683102	1356	0.014276553	3683102	9492	0.067376904	3683102	6660	0.034473658	3683102	18651	0.18960132	3683102	728	0.0044212732	3683102	19684	0.02215578	3683102	6880	0.06663052	3683102	19127	0.14053752	3683102	15868	0.019366013	3683102	14614	0.080346406	3683102	3356	0.09157417	3683102	146456	0.82404286	3683102	1623467	0.99855447	3683102	4192	0.03207622	3683102
all_samples_bin.243	2320	0.0027140558	1624506	4070	0.026505904	1624506	1211	0.0027011288	1624506	2452	0.03167609	1624506	5883	0.0045127566	1624506	11013	0.007343771	1624506	1640	0.0030852456	1624506	5366	0.005154798	1624506	9290	0.117228866	1624506	208016	0.99824995	1624506	8833	0.027110396	1624506	1733	0.032308284	1624506	1259	0.0050335303	1624506	6639	0.109412335	1624506	10660	0.37858093	1624506	5549	0.07578181	1624506	9104	0.09116187	1624506	5290	0.0073049897	1624506	7473	0.0023508684	1624506	3241	0.0076133916	1624506	9748	0.078171454	1624506	12490	0.19640002	1624506	2184	0.004714664	1624506	9547	0.04071207	1624506	5435	0.0030396932	1624506	7688	0.046616632	1624506	2890	0.010465335	1624506	8427	0.034348905	1624506	13352	0.003495832	1624506	4843	0.007547525	1624506	1819	0.0027103624	1624506	29217	0.032058977	1624506
all_samples_bin.244	139	0.0019420047	2371261	941899	0.9994914	2371261	18	0.00071733986	2371261	1698	0.07177531	2371261	1945	0.0886212	2371261	58	0.0016480683	2371261	12	0.00045545388	2371261	255	0.002418966	2371261	1834	0.010306752	2371261	1528	0.055187516	2371261	385	0.00065408234	2371261	84	0.0022507012	2371261	10	0.0003816535	2371261	1858	0.07050004	2371261	516	0.0037503252	2371261	1698	0.038703036	2371261	2036	0.088371545	2371261	1	0.00006199233	2371261	4	0.0001248281	2371261	1694	0.07751783	2371261	8	0.00026146427	2371261	3	0.00018555528	2371261	41	0.0003951484	2371261	4	0.00023658299	2371261	10	0.0005178679	2371261	11	0.00039894384	2371261	8	0.00032767377	2371261	7	0.0002445956	2371261	2	0.00008771704	2371261	6	0.00026315113	2371261	12	0.000614441	2371261	18	0.00026399456	2371261
all_samples_bin.245	5750	0.15424722	2603418	1687	0.04930019	2603418	1283	0.049995046	2603418	3098	0.08357283	2603418	28250	0.59176743	2603418	25306	0.5416933	2603418	7616	0.18205374	2603418	1502	0.04061046	2603418	3013	0.051920976	2603418	1441	0.050580043	2603418	470	0.015482339	2603418	291	0.009063086	2603418	1560	0.046552263	2603418	7966	0.16736767	2603418	3388	0.08884705	2603418	1515	0.038267385	2603418	1256	0.035610493	2603418	8625	0.22840436	2603418	6366	0.16754474	2603418	100638	0.9566366	2603418	28210	0.5867502	2603418	6256	0.16845585	2603418	494	0.015433173	2603418	23842	0.5304277	2603418	6496	0.15317325	2603418	125409	0.95688015	2603418	5538	0.02688965	2603418	12438	0.23833936	2603418	8461	0.19976047	2603418	145807	0.9902056	2603418	80411	0.932536	2603418	91928	0.89379156	2603418
all_samples_bin.246	39610	0.6508749	2490093	12809	0.3336755	2490093	23065	0.16400431	2490093	112376	0.9277063	2490093	667521	0.99070036	2490093	209107	0.9726954	2490093	96760	0.88431275	2490093	29345	0.2022294	2490093	76719	0.12402147	2490093	23071	0.069344	2490093	6872	0.17282969	2490093	3053	0.08881154	2490093	26422	0.43982854	2490093	39850	0.44338584	2490093	13637	0.25067577	2490093	10295	0.18915519	2490093	17530	0.36862198	2490093	79660	0.8425862	2490093	65264	0.56238264	2490093	491360	0.99170154	2490093	81248	0.8248041	2490093	84976	0.8759087	2490093	30766	0.26106495	2490093	45938	0.71620256	2490093	307642	0.9595228	2490093	86249	0.8307846	2490093	1317358	0.9900317	2490093	60397	0.5346776	2490093	160261	0.75995636	2490093	287107	0.9865487	2490093	657960	0.9950829	2490093	792727	0.9640278	2490093
all_samples_bin.247	44459	0.6925211	3012122	1156	0.034753572	3012122	14970	0.3913726	3012122	2105	0.04687692	3012122	264	0.00872375	3012122	1233	0.039385192	3012122	11427	0.28708598	3012122	176552	0.8852065	3012122	872	0.023725135	3012122	446885	0.9863037	3012122	1600457	0.9955832	3012122	1640	0.03000941	3012122	1565	0.029131623	3012122	89233	0.8485214	3012122	4296	0.063645825	3012122	100505	0.8186126	3012122	962	0.03368124	3012122	674	0.023988072	3012122	137	0.004732544	3012122	3157	0.10683664	3012122	58	0.0005106035	3012122	224	0.0076942435	3012122	344	0.008842935	3012122	179	0.0068061654	3012122	3698	0.12313943	3012122	102	0.0025885405	3012122	3433	0.117868066	3012122	3827	0.1372461	3012122	230	0.008356235	3012122	240	0.007936598	3012122	1100	0.03724351	3012122	5578	0.1895222	3012122
all_samples_bin.248	1068	0.046887774	1871746	579	0.02396853	1871746	2449	0.12546627	1871746	429	0.02019291	1871746	715	0.035959475	1871746	2612	0.10923063	1871746	531	0.022111975	1871746	284	0.012151222	1871746	200	0.0095969215	1871746	1513	0.07465009	1871746	72	0.003865375	1871746	101	0.0053762635	1871746	241	0.011433709	1871746	1898	0.068118215	1871746	309	0.013146015	1871746	254	0.012247388	1871746	313	0.014733302	1871746	1433	0.05879323	1871746	640	0.027416114	1871746	6791	0.2671853	1871746	10377	0.37277067	1871746	443	0.020838298	1871746	43	0.001960202	1871746	31318	0.70918703	1871746	1573	0.061885532	1871746	82294	0.93299305	1871746	519	0.021893462	1871746	20850	0.5792944	1871746	1590	0.0731595	1871746	14382	0.51176816	1871746	1171	0.04622422	1871746	180	0.0065446915	1871746
all_samples_bin.249	508	0.03779866	1037497	535	0.04244928	1037497	928	0.08706724	1037497	710	0.050981354	1037497	3883	0.25983882	1037497	2640	0.17934799	1037497	304	0.02039813	1037497	395	0.029894063	1037497	196	0.014529198	1037497	753	0.0632291	1037497	1242	0.06272596	1037497	198	0.017293544	1037497	184	0.016428	1037497	1029	0.07563588	1037497	295	0.02466224	1037497	407	0.03240684	1037497	1488	0.11508371	1037497	1584	0.1038509	1037497	301	0.012400036	1037497	12712	0.61964226	1037497	5090	0.3128192	1037497	9436	0.5113605	1037497	19	0.0017156677	1037497	64246	0.9844992	1037497	845	0.05664595	1037497	24056	0.8099011	1037497	632	0.011055454	1037497	19765	0.76922923	1037497	399	0.03112009	1037497	22495	0.83718604	1037497	7090	0.45874736	1037497	148	0.009190388	1037497
all_samples_bin.24	1022	0.005604402	1958282	15257	0.18083504	1958282	437	0.021802785	1958282	4421	0.20849448	1958282	959	0.043448288	1958282	782	0.0020972465	1958282	363	0.0051800506	1958282	4139	0.008299622	1958282	12056	0.3822805	1958282	1807664	0.9984875	1958282	5009	0.19049913	1958282	694	0.0036746494	1958282	309	0.0072910846	1958282	37468	0.7664009	1958282	37471	0.76972777	1958282	26191	0.57992107	1958282	4994	0.21519628	1958282	968	0.037209146	1958282	168	0.0043201135	1958282	393	0.016159572	1958282	1321	0.026151493	1958282	152	0.00577496	1958282	1336	0.023309717	1958282	508	0.01884509	1958282	906	0.03698548	1958282	759	0.026192347	1958282	6673	0.2644609	1958282	3428	0.18897687	1958282	353	0.004553481	1958282	252	0.0086203115	1958282	438	0.014151179	1958282	3235	0.16814075	1958282
all_samples_bin.250	131788	0.91354436	3460468	940632	0.98469716	3460468	2735	0.07884251	3460468	14170	0.3238276	3460468	4180	0.113032974	3460468	65429	0.7842806	3460468	12620	0.27469695	3460468	486018	0.9778845	3460468	362457	0.9790916	3460468	281180	0.96596587	3460468	695	0.017820422	3460468	93397	0.869348	3460468	5524	0.16033727	3460468	2986	0.078282185	3460468	1068090	0.99498594	3460468	1786	0.048471767	3460468	2638	0.078215435	3460468	1897	0.06035831	3460468	80	0.0013798712	3460468	1723	0.054609664	3460468	84	0.0006273718	3460468	2249	0.065795146	3460468	303	0.00059847394	3460468	466	0.010442229	3460468	33	0.0009071027	3460468	33	0.0010270287	3460468	8	0.00023031567	3460468	529	0.016549207	3460468	2728	0.079949014	3460468	1118	0.034171678	3460468	3066	0.08749395	3460468	465	0.014098093	3460468
all_samples_bin.251	668	0.0074446863	2502456	866	0.0318575	2502456	71	0.0023169238	2502456	1878	0.04402395	2502456	789	0.010042934	2502456	577	0.0060184873	2502456	279	0.0047229603	2502456	469	0.010024153	2502456	392	0.008586365	2502456	410152	0.99782413	2502456	1252	0.038921364	2502456	96	0.0033111472	2502456	328	0.0071293963	2502456	42443	0.74203503	2502456	34971	0.68550134	2502456	15420	0.38830012	2502456	2668	0.039815687	2502456	1045	0.012085327	2502456	90	0.0033059523	2502456	371	0.012197617	2502456	1574	0.0074027274	2502456	469	0.010436547	2502456	282	0.0076348996	2502456	1979	0.00921215	2502456	360	0.0050578313	2502456	831	0.003728737	2502456	340	0.0055613364	2502456	1513	0.042829525	2502456	2754	0.010971222	2502456	416	0.0056152837	2502456	276	0.007407123	2502456	803	0.032757018	2502456
all_samples_bin.252	1015	0.04670704	2023121	18	0.0007740516	2023121	1494	0.07880646	2023121	4	0.0002965715	2023121	9	0.0005570601	2023121	754424	0.99699426	2023121	3085	0.15672766	2023121	2143	0.102438755	2023121	1055589	0.9966888	2023121	225	0.0083208075	2023121	234	0.00795553	2023121	15	0.00090058876	2023121	2704	0.13814004	2023121	828	0.011426405	2023121	2497	0.09919674	2023121	2539	0.0979714	2023121	73	0.0029321034	2023121	610	0.025815064	2023121	21	0.00090503733	2023121	2	0.00008748859	2023121	73	0.0028772377	2023121	595	0.027803577	2023121	91	0.0025742406	2023121	1428	0.07556789	2023121	39	0.0011951831	2023121	334	0.0039874036	2023121	3	0.00014532002	2023121	2277	0.0748492	2023121	1440	0.072279416	2023121	2697	0.13627806	2023121	21	0.0011017631	2023121	143	0.0053585526	2023121
all_samples_bin.253	1204	0.025964852	3401945	755	0.00811477	3401945	1139590	0.9748153	3401945	924	0.023453055	3401945	423	0.01187556	3401945	1403	0.05154169	3401945	514	0.015804194	3401945	4551	0.08965518	3401945	7877	0.18038769	3401945	20488	0.41312513	3401945	724	0.017452369	3401945	12161	0.24962632	3401945	1213	0.04488344	3401945	991	0.02352419	3401945	3369	0.020821912	3401945	271975	0.9843278	3401945	101	0.0025441328	3401945	1989	0.059211127	3401945	9058	0.15127493	3401945	173	0.0052737477	3401945	1920	0.023134412	3401945	542	0.017760428	3401945	3728	0.0112932455	3401945	1855	0.06376529	3401945	2804	0.0039589116	3401945	1501	0.039133497	3401945	3989	0.10475478	3401945	91	0.003008573	3401945	75	0.0023530656	3401945	2079	0.07449709	3401945	2902	0.092342466	3401945	3110	0.057163477	3401945
