Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_014324975.1	ASM1432497v1	Fusarium oxysporum					Fo15			48650856	Scaffold	2020-08-28	WXVF01
GCA_027945315.1	F_oxy_CF00161	Fusarium oxysporum		CF00161					Annotation submitted by University of California, Riverside	41909290	Scaffold	2023-01-24	JAOQBF01
GCA_014325045.1	ASM1432504v1	Fusarium oxysporum					Fo11			49874305	Scaffold	2020-08-28	WXVI01
GCA_014325295.1	ASM1432529v1	Fusarium oxysporum					Fo2			47452269	Scaffold	2020-08-28	WXVO01
GCA_014324505.1	ASM1432450v1	Fusarium oxysporum					Fo57			49874414	Scaffold	2020-08-28	WXUK01
GCA_025215825.1	ASM2521582v1	Fusarium oxysporum		VPRI43897		Australia				49025293	Contig	2022-09-14	JAMSCW01
GCA_014324675.1	ASM1432467v1	Fusarium oxysporum					Fo35			48106679	Scaffold	2020-08-28	WXUV01
GCA_016164075.1	USDA_N-10226_v1	Fusarium oxysporum		N-10226						46794739	Scaffold	2020-12-21	WILT01
GCA_014325035.1	ASM1432503v1	Fusarium oxysporum					Fo12			50199843	Scaffold	2020-08-28	WXVH01
GCA_016165995.1	USDA_GL1703_v1	Fusarium oxysporum		GL1703						49609257	Contig	2020-12-21	WIMD01
GCA_014324555.1	ASM1432455v1	Fusarium oxysporum					Fo54			50816590	Scaffold	2020-08-28	WXUL01
GCA_025216105.1	ASM2521610v1	Fusarium oxysporum		VPRI43894		Australia				48623283	Contig	2022-09-14	JAMSDI01
GCA_014324435.1	ASM1432443v1	Fusarium oxysporum					Fo75			49824212	Scaffold	2020-08-28	WXUF01
GCA_014324805.1	ASM1432480v1	Fusarium oxysporum					Fo29			50651040	Scaffold	2020-08-28	WXUW01
GCA_014325135.1	ASM1432513v1	Fusarium oxysporum					Fo8			50530900	Scaffold	2020-08-28	WXVK01
GCA_014324865.1	ASM1432486v1	Fusarium oxysporum					Fo26			52287225	Scaffold	2020-08-28	WXUY01
GCA_014324715.1	ASM1432471v1	Fusarium oxysporum					Fo44			49289536	Scaffold	2020-08-28	WXUS01
GCA_027945275.1	F_oxy_CF00145	Fusarium oxysporum		CF00145					Annotation submitted by University of California, Riverside	42897137	Scaffold	2023-01-24	JAOQBD01
GCA_025216205.1	ASM2521620v1	Fusarium oxysporum		VPRI43902		Australia				51882294	Contig	2022-09-14	JAMSDJ01
GCA_025216065.1	ASM2521606v1	Fusarium oxysporum		VPRI43900		Australia				53239931	Contig	2022-09-14	JAMSDH01
GCA_016164055.1	USDA_N-16818_v1	Fusarium oxysporum		N-16818						49935726	Scaffold	2020-12-21	WILS01
GCA_014324645.1	ASM1432464v1	Fusarium oxysporum					Fo46			50681299	Scaffold	2020-08-28	WXUQ01
GCA_025215885.1	ASM2521588v1	Fusarium oxysporum		VPRI43899		Australia				50467988	Contig	2022-09-14	JAMSDA01
GCA_025201995.1	ASM2520199v1	Fusarium oxysporum		VPRI44285		Australia				55563210	Scaffold	2022-09-14	JAMSCT01
GCA_027945255.1	F_oxy_CF00144	Fusarium oxysporum		CF00144					Annotation submitted by University of California, Riverside	42238012	Scaffold	2023-01-24	JAOQBC01
GCA_014324775.1	ASM1432477v1	Fusarium oxysporum					Fo41			51290483	Scaffold	2020-08-28	WXUT01
GCA_014324905.1	ASM1432490v1	Fusarium oxysporum					Fo20			52148302	Scaffold	2020-08-28	WXVB01
GCA_014324625.1	ASM1432462v1	Fusarium oxysporum					Fo48			51516727	Scaffold	2020-08-28	WXUP01
GCA_011033475.1	ASM1103347v1	Fusarium oxysporum		EtdFoc-13						53295697	Scaffold	2020-02-27	WESK01
GCA_025215925.1	ASM2521592v1	Fusarium oxysporum		VPRI43898		Australia				52726007	Contig	2022-09-14	JAMSCX01
GCA_014324955.1	ASM1432495v1	Fusarium oxysporum					Fo17			51758095	Scaffold	2020-08-28	WXVD01
GCA_016166025.1	USDA_GL1702_v1	Fusarium oxysporum		GL1702						50412027	Contig	2020-12-21	WIME01
GCA_025201465.1	ASM2520146v1	Fusarium oxysporum		VPRI44289		Australia				51741387	Contig	2022-09-14	JAMSCP01
GCA_016165925.1	USDA_GL1704_v1	Fusarium oxysporum		GL1704						51381958	Contig	2020-12-21	WIMC01
GCA_027945555.1	F_oxy_CF00132	Fusarium oxysporum		CF00132					Annotation submitted by University of California, Riverside	48565265	Scaffold	2023-01-24	JAOQAY01
GCA_025215865.1	ASM2521586v1	Fusarium oxysporum		VPRI44286		Australia				53221060	Contig	2022-09-14	JAMSCS01
GCA_014324835.1	ASM1432483v1	Fusarium oxysporum					Fo28			52067767	Scaffold	2020-08-28	WXUX01
GCA_025215805.1	ASM2521580v1	Fusarium oxysporum		VPRI44287		Australia				53165723	Contig	2022-09-14	JAMSCR01
GCA_025216165.1	ASM2521616v1	Fusarium oxysporum		VPRI43903		Australia				54564232	Contig	2022-09-14	JAMSDK01
GCA_025215945.1	ASM2521594v1	Fusarium oxysporum		VPRI44284		Australia				53722520	Contig	2022-09-14	JAMSCU01
GCA_027945335.1	F_oxy_CF00165	Fusarium oxysporum		CF00165					Annotation submitted by University of California, Riverside	44959929	Scaffold	2023-01-24	JAOQBG01
GCA_027945535.1	F_oxy_CF00115	Fusarium oxysporum		CF00115					Annotation submitted by University of California, Riverside	45048357	Scaffold	2023-01-24	JAOQAX01
GCA_025215965.1	ASM2521596v1	Fusarium oxysporum		VPRI43896		Australia				48259671	Contig	2022-09-14	JAMSCZ01
GCA_011034805.1	ASM1103480v1	Fusarium oxysporum		EtdFoc-79						53155723	Scaffold	2020-02-27	WEVH01
GCA_014325065.1	ASM1432506v1	Fusarium oxysporum					Fo16			51702916	Scaffold	2020-08-28	WXVE01
GCA_020976715.1	ASM2097671v1	Fusarium oxysporum		TO1						52296727	Scaffold	2021-11-24	JAANSI01
GCA_014325095.1	ASM1432509v1	Fusarium oxysporum					Fo10			52686132	Scaffold	2020-08-28	WXVJ01
GCA_027945265.1	F_oxy_CF00141	Fusarium oxysporum		CF00141					Annotation submitted by University of California, Riverside	45007583	Scaffold	2023-01-24	JAOQBB01
GCA_014324935.1	ASM1432493v1	Fusarium oxysporum					Fo18			54920127	Scaffold	2020-08-28	WXVC01
GCA_025215985.1	ASM2521598v1	Fusarium oxysporum		VPRI43901		Australia				55779357	Contig	2022-09-14	JAMSDF01
GCA_025201475.1	ASM2520147v1	Fusarium oxysporum		VPRI44311		Australia				55537835	Contig	2022-09-14	JAMSCN01
GCA_027945305.1	F_oxy_CF00160	Fusarium oxysporum		CF00160					Annotation submitted by University of California, Riverside	44944953	Scaffold	2023-01-24	JAOQBE01
GCA_014324755.1	ASM1432475v1	Fusarium oxysporum					Fo68			51504407	Scaffold	2020-08-28	JAAMUZ01
GCA_025176795.1	ASM2517679v1	Fusarium oxysporum		VPRI44291		Australia				53082548	Contig	2022-09-13	JAMWEV01
GCA_025216045.1	ASM2521604v1	Fusarium oxysporum		VPRI43892		Australia				48739903	Contig	2022-09-14	JAMSDD01
GCA_014325225.1	ASM1432522v1	Fusarium oxysporum					Fo4			53665476	Scaffold	2020-08-28	WXVM01
GCA_016163925.1	USDA_N-18842_v1	Fusarium oxysporum		N-18842						51804496	Contig	2020-12-21	WILN01
GCA_020976725.1	ASM2097672v1	Fusarium oxysporum		2Ma4-5						51423352	Scaffold	2021-11-24	JAANSJ01
GCA_009297485.1	ASM929748v1	Fusarium oxysporum		RBG6313						45802036	Contig	2019-10-25	WGOP01
GCA_014324585.1	ASM1432458v1	Fusarium oxysporum					Fo49			51488770	Scaffold	2020-08-28	WXUO01
GCA_003615185.1	Fo_PG_v1	Fusarium oxysporum		Fo_PG					Harrison Lab NIAB-EMR Release 1.01	50292220	Scaffold	2018-10-05	MRDA01
GCA_014324575.1	ASM1432457v1	Fusarium oxysporum					Fo53			50378143	Scaffold	2020-08-28	WXUM01
GCA_011035965.1	ASM1103596v1	Fusarium oxysporum		EthFoc-36						51903197	Scaffold	2020-02-27	WEXN01
GCA_032884055.1	ASM3288405v1	Fusarium oxysporum		BPOP18					Annotation submitted by National Technical University of Athens	49992589	Scaffold	2023-10-20	JAULRZ01
GCA_014324595.1	ASM1432459v1	Fusarium oxysporum					Fo52			51202205	Scaffold	2020-08-28	WXUN01
GCA_025215475.1	ASM2521547v1	Fusarium oxysporum		VPRI43909		Australia				55842171	Contig	2022-09-15	JAMSDB01
GCA_011033835.1	ASM1103383v1	Fusarium oxysporum		EtdFoc-22						50688263	Scaffold	2020-02-27	WETO01
GCA_009299125.1	ASM929912v1	Fusarium oxysporum		VPRI42117						49202833	Contig	2019-10-25	WGRG01
GCA_014337855.1	ASM1433785v1	Fusarium oxysporum					Fo24			52647048	Scaffold	2020-08-28	WXVA01
GCA_014324665.1	ASM1432466v1	Fusarium oxysporum					Fo45			50461054	Scaffold	2020-08-28	WXUR01
GCA_025216025.1	ASM2521602v1	Fusarium oxysporum		VPRI43904		Australia				54409598	Contig	2022-09-14	JAMSDG01
GCA_025201495.1	ASM2520149v1	Fusarium oxysporum		VPRI44288		Australia				53212975	Contig	2022-09-14	JAMSCQ01
GCA_025215215.1	ASM2521521v1	Fusarium oxysporum		VPRI44314		Australia				53172182	Contig	2022-09-14	JAMSCL01
GCA_025215195.1	ASM2521519v1	Fusarium oxysporum		VPRI44312		Australia				53118346	Contig	2022-09-14	JAMSCM01
GCA_014324455.1	ASM1432445v1	Fusarium oxysporum					Fo63			52317076	Scaffold	2020-08-28	WXUI01
GCA_011035255.1	ASM1103525v1	Fusarium oxysporum		EthFoc-136						52600677	Scaffold	2020-02-27	WEWN01
GCA_014324795.1	ASM1432479v1	Fusarium oxysporum					Fo39			50082841	Scaffold	2020-08-28	WXUU01
GCA_011421355.1	ASM1142135v1	Fusarium oxysporum		EtdFoc-191						58134561	Scaffold	2020-03-18	WILB01
GCA_014325205.1	ASM1432520v1	Fusarium oxysporum					Fo5			53595403	Scaffold	2020-08-28	JAAMVE01
GCA_002233995.2	ASM223399v2	Fusarium oxysporum		KOD886						50410650	Scaffold	2022-09-30	NJBW02
GCA_014325215.1	ASM1432521v1	Fusarium oxysporum					Fo6			52559635	Scaffold	2020-08-28	WXVL01
GCA_001931975.2	ASM193197v2	Fusarium oxysporum		IMV 00293						51318644	Scaffold	2017-02-15	MSJJ02
GCA_000733055.2	FoxyAC1-1.0	Fusarium oxysporum		UASWS AC1						50498697	Contig	2015-06-08	JNNQ01
GCA_004291455.1	ASM429145v1	Fusarium oxysporum		ISS-F3						53145029	Scaffold	2019-02-22	QUWZ01
GCA_014324425.1	ASM1432442v1	Fusarium oxysporum					Fo69			53255279	Scaffold	2020-08-28	WXUG01
GCA_014325235.1	ASM1432523v1	Fusarium oxysporum					Fo3			56720539	Scaffold	2020-08-28	WXVN01
GCA_004292535.1	ASM429253v1	Fusarium oxysporum		ISS-F4						53250068	Scaffold	2019-02-22	QUXA01
GCA_011034675.1	ASM1103467v1	Fusarium oxysporum		EtdFoc-39						51693982	Scaffold	2020-02-27	WEUP01
GCA_014325015.1	ASM1432501v1	Fusarium oxysporum					Fo13			50841866	Scaffold	2020-08-28	WXVG01
GCA_013347365.1	WSU_Fus191	Fusarium oxysporum		Fus191						47532730	Scaffold	2020-06-16	JAALGM01
GCA_019054755.1	ASM1905475v1	Fusarium oxysporum		S18/25						35016598	Contig	2021-06-29	JAHKNY01
GCA_013347375.1	WSU_Fus259	Fusarium oxysporum		Fus259						49245682	Scaffold	2020-06-16	JAALGK01
GCA_014325185.1	ASM1432518v1	Fusarium oxysporum					Fo7			53356140	Scaffold	2020-08-28	JAAMVD01
GCA_023628715.1	ASM2362871v1	Fusarium oxysporum		M7004Y						46975095	Scaffold	2022-06-01	JAMAKD01
GCA_003615155.1	Fo_A28_v1	Fusarium oxysporum		Fo_A28					Harrison Lab NIAB-EMR Release 1.01	53038185	Scaffold	2018-10-05	MRCY01
GCA_002233955.2	ASM223395v2	Fusarium oxysporum		KOD888						50403639	Scaffold	2022-09-30	NJBU02
GCA_011035745.1	ASM1103574v1	Fusarium oxysporum		EthFoc-2						52174060	Scaffold	2020-02-27	WEXA01
GCA_014324465.1	ASM1432446v1	Fusarium oxysporum					Fo65			53588382	Scaffold	2020-08-28	WXUH01
GCA_011035055.1	ASM1103505v1	Fusarium oxysporum		EthFoc-11						52453353	Scaffold	2020-02-27	WEVU01
GCA_001703125.1	FoMN14	Fusarium oxysporum		FoMN14						48996880	Scaffold	2016-08-10	MALU01
GCA_014324985.1	ASM1432498v1	Fusarium oxysporum					Fo14			53567140	Scaffold	2020-08-28	JAAMVB01
GCA_011035045.1	ASM1103504v1	Fusarium oxysporum		EthFoc-111						52665804	Scaffold	2020-02-27	WEVV01
GCA_011036395.1	ASM1103639v1	Fusarium oxysporum		EthFoc-90						54285402	Scaffold	2020-02-27	WEYP01
GCA_014324745.1	ASM1432474v1	Fusarium oxysporum					Fo74			52538187	Scaffold	2020-08-28	JAAMUY01
GCA_013347385.1	WSU_Fus250	Fusarium oxysporum		Fus250						50016585	Scaffold	2020-06-16	JAALGL01
GCA_025215845.1	ASM2521584v1	Fusarium oxysporum		VPRI43893		Australia				55804075	Contig	2022-09-14	JAMSCV01
GCA_009298755.1	ASM929875v1	Fusarium oxysporum		VPRI32287						45415676	Contig	2019-10-25	WGQU01
GCA_025177805.1	ASM2517780v1	Fusarium oxysporum		VPRI44313		Australia				55251345	Contig	2022-09-13	JAMWEU01
GCA_002894245.1	CS5870v1	Fusarium oxysporum		CS5870						51381387	Scaffold	2018-01-22	MTPZ01
GCA_019054625.1	ASM1905462v1	Fusarium oxysporum		S18/30						40200404	Contig	2021-06-29	JAHKNV01
GCA_003705035.1	ASM370503v1	Fusarium oxysporum		MOD1-FUNGI16						44403228	Contig	2018-10-31	RBCA01
GCA_020976335.1	ASM2097633v1	Fusarium oxysporum		nonpath2						53373891	Scaffold	2021-11-24	JAAIJH01
GCA_011036855.1	ASM1103685v1	Fusarium oxysporum		EthFoc-126						52175403	Scaffold	2020-02-27	WEWF01
GCA_011036875.1	ASM1103687v1	Fusarium oxysporum		EthFoc-13						53211441	Scaffold	2020-02-27	WEWI01
GCA_011035455.1	ASM1103545v1	Fusarium oxysporum		EthFoc-119						49159102	Scaffold	2020-02-27	WEVZ01
GCA_011036945.1	ASM1103694v1	Fusarium oxysporum		EthFoc-34						54410155	Scaffold	2020-02-27	WEXM01
GCA_011034935.1	ASM1103493v1	Fusarium oxysporum		EtdFoc-88						52767621	Scaffold	2020-02-27	WEVL01
GCA_002233985.2	ASM223398v2	Fusarium oxysporum		KOD887						59417736	Scaffold	2022-09-27	NJBV02
GCA_014324895.1	ASM1432489v1	Fusarium oxysporum					Fo25			50470764	Scaffold	2020-08-28	WXUZ01
GCA_020976685.1	ASM2097668v1	Fusarium oxysporum		nonpath5						54178735	Scaffold	2021-11-24	JAANSH01
GCA_013347595.1	WSU_Fus017	Fusarium oxysporum		Fus017						51327429	Scaffold	2020-06-16	JAALGS01
GCA_011032855.1	ASM1103285v1	Fusarium oxysporum		EtdFoc-10						54529818	Scaffold	2020-02-27	WESG01
GCA_009298275.1	ASM929827v1	Fusarium oxysporum		VPRI11235						50362541	Contig	2019-10-25	WGQG01
GCA_003615165.1	Fo_CB3_v1	Fusarium oxysporum		Fo_CB3					Harrison Lab NIAB-EMR Release 1.01	50515499	Scaffold	2018-10-05	MRCZ01
GCA_011036135.1	ASM1103613v1	Fusarium oxysporum		EthFoc-4						53199733	Scaffold	2020-02-27	WEXQ01
GCA_003025235.1	ASM302523v1	Fusarium oxysporum		VEG-01C2						48477235	Scaffold	2018-03-30	PXUN01
GCA_011036455.1	ASM1103645v1	Fusarium oxysporum		EthFoc-84						53131465	Scaffold	2020-02-27	WEYM01
GCA_009298745.1	ASM929874v1	Fusarium oxysporum		VPRI32288						46901939	Contig	2019-10-25	WGQV01
GCA_011036475.1	ASM1103647v1	Fusarium oxysporum		EthFoc-83						53014533	Scaffold	2020-02-27	WEYL01
GCA_011034105.1	ASM1103410v1	Fusarium oxysporum		EtdFoc-236						53907921	Scaffold	2020-02-27	WETX01
GCA_011034475.1	ASM1103447v1	Fusarium oxysporum		EtdFoc-30						52223542	Scaffold	2020-02-27	WEUL01
GCA_011036055.1	ASM1103605v1	Fusarium oxysporum		EthFoc-44						52260275	Scaffold	2020-02-27	WEXV01
GCA_011035435.1	ASM1103543v1	Fusarium oxysporum		EthFoc-124						52001598	Scaffold	2020-02-27	WEWD01
GCA_009298465.1	ASM929846v1	Fusarium oxysporum		VPRI17577						48319365	Contig	2019-10-25	WGQP01
GCA_011036215.1	ASM1103621v1	Fusarium oxysporum		EthFoc-75						53615548	Scaffold	2020-02-27	WEYG01
GCA_011036795.1	ASM1103679v1	Fusarium oxysporum		EtdFoc-6						57532171	Scaffold	2020-02-27	WEUZ01
GCA_011033895.1	ASM1103389v1	Fusarium oxysporum		EtdFoc-216						52471005	Scaffold	2020-02-27	WETL01
GCA_011033885.1	ASM1103388v1	Fusarium oxysporum		EtdFoc-219						52433913	Scaffold	2020-02-27	WETN01
GCA_011035495.1	ASM1103549v1	Fusarium oxysporum		EthFoc-113						51806632	Scaffold	2020-02-27	WEVW01
GCA_009298545.1	ASM929854v1	Fusarium oxysporum		VPRI12300						54149749	Scaffold	2019-10-25	WGQK01
GCA_011034155.1	ASM1103415v1	Fusarium oxysporum		EtdFoc-23						53362244	Scaffold	2020-02-27	WETU01
GCA_011421275.1	ASM1142127v1	Fusarium oxysporum		EtdFoc-3						58123106	Scaffold	2020-03-18	WIKV01
GCA_011035335.1	ASM1103533v1	Fusarium oxysporum		EthFoc-127						52167724	Scaffold	2020-02-27	WEWG01
GCA_009298305.1	ASM929830v1	Fusarium oxysporum		VPRI11762						47512850	Contig	2019-10-25	WGQJ01
GCA_011034125.1	ASM1103412v1	Fusarium oxysporum		EtdFoc-234						52223926	Scaffold	2020-02-27	WETW01
GCA_009298845.1	ASM929884v1	Fusarium oxysporum		VPRI31638						53612201	Scaffold	2019-10-25	WGQS01
GCA_009298825.1	ASM929882v1	Fusarium oxysporum		VPRI19293						52513135	Scaffold	2019-10-25	WGQR01
GCA_011035755.1	ASM1103575v1	Fusarium oxysporum		EthFoc-21						53060685	Scaffold	2020-02-27	WEXC01
GCA_009298935.1	ASM929893v1	Fusarium oxysporum		VPRI42760						51159788	Contig	2019-10-25	WGRT01
GCA_011033875.1	ASM1103387v1	Fusarium oxysporum		EtdFoc-218						52975615	Scaffold	2020-02-27	WETM01
GCA_011035955.1	ASM1103595v1	Fusarium oxysporum		EthFoc-3						52738587	Scaffold	2020-02-27	WEXK01
GCA_011034225.1	ASM1103422v1	Fusarium oxysporum		EtdFoc-223						53566557	Scaffold	2020-02-27	WETR01
GCA_011036205.1	ASM1103620v1	Fusarium oxysporum		EthFoc-7						55355858	Scaffold	2020-02-27	WEYF01
GCA_003025205.1	ASM302520v1	Fusarium oxysporum		VEG-01C1						48787031	Scaffold	2018-03-30	PXUO01
GCA_011035835.1	ASM1103583v1	Fusarium oxysporum		EthFoc-25						53630826	Scaffold	2020-02-27	WEXF01
GCA_019054655.1	ASM1905465v1	Fusarium oxysporum		S17/14						39725790	Contig	2021-06-29	JAHKNX01
GCA_011035035.1	ASM1103503v1	Fusarium oxysporum		EthFoc-101						52817521	Scaffold	2020-02-27	WEVR01
GCA_009298715.1	ASM929871v1	Fusarium oxysporum		VPRI32441						46250468	Contig	2019-10-25	WGQX01
GCA_011035485.1	ASM1103548v1	Fusarium oxysporum		EthFoc-118						53391331	Scaffold	2020-02-27	WEVY01
GCA_011035615.1	ASM1103561v1	Fusarium oxysporum		EthFoc-16						52545525	Scaffold	2020-02-27	WEWV01
GCA_011036705.1	ASM1103670v1	Fusarium oxysporum		EthFoc-35						54638491	Scaffold	2020-02-27	WEYY01
GCA_003705045.1	ASM370504v1	Fusarium oxysporum		MOD1-FUNGI11						46236216	Contig	2018-10-31	RBCF01
GCA_009299175.1	ASM929917v1	Fusarium oxysporum		VPRI42889						49782841	Scaffold	2019-10-25	WGRW01
GCA_009299005.1	ASM929900v1	Fusarium oxysporum		VPRI42190						50094163	Scaffold	2019-10-25	WGRM01
GCA_009297365.1	ASM929736v1	Fusarium oxysporum		RBG5844						52431739	Contig	2019-10-25	WGOL01
GCA_011035375.1	ASM1103537v1	Fusarium oxysporum		EthFoc-120						52436722	Scaffold	2020-02-27	WEWB01
GCA_011034485.1	ASM1103448v1	Fusarium oxysporum		EtdFoc-258						51377707	Scaffold	2020-02-27	WEUI01
GCA_009299215.1	ASM929921v1	Fusarium oxysporum		VPRI42420						53168674	Scaffold	2019-10-25	WGRS01
GCA_009298945.1	ASM929894v1	Fusarium oxysporum		VPRI42253						48717784	Contig	2019-10-25	WGRP01
GCA_009299115.1	ASM929911v1	Fusarium oxysporum		VPRI42118						54223368	Scaffold	2019-10-25	WGRH01
GCA_009298335.1	ASM929833v1	Fusarium oxysporum		VPRI10403						48049784	Scaffold	2019-10-25	WGQC01
GCA_003615115.1	Fo_A13_v1	Fusarium oxysporum		Fo_A13					Harrison Lab NIAB-EMR Release 1.01	54787818	Scaffold	2018-10-05	MRCX01
GCA_009298295.1	ASM929829v1	Fusarium oxysporum		VPRI10405						52131221	Contig	2019-10-25	WGQD01
GCA_009298655.1	ASM929865v1	Fusarium oxysporum		VPRI42109						47966865	Contig	2019-10-25	WGRF01
GCA_009298515.1	ASM929851v1	Fusarium oxysporum		VPRI13039						51333920	Scaffold	2019-10-25	WGQL01
GCA_009298635.1	ASM929863v1	Fusarium oxysporum		VPRI41208						46106373	Contig	2019-10-25	WGRA01
GCA_011035245.1	ASM1103524v1	Fusarium oxysporum		EthFoc-131						51124906	Scaffold	2020-02-27	WEWK01
GCA_011033535.1	ASM1103353v1	Fusarium oxysporum		EtdFoc-160						54307985	Scaffold	2020-02-27	WESQ01
GCA_009297605.1	ASM929760v1	Fusarium oxysporum		RBG6358						50903078	Contig	2019-10-25	WGOR01
GCA_011035265.1	ASM1103526v1	Fusarium oxysporum		EthFoc-130						51259128	Scaffold	2020-02-27	WEWJ01
GCA_009299025.1	ASM929902v1	Fusarium oxysporum		VPRI42181						45797068	Contig	2019-10-25	WGRL01
GCA_009298395.1	ASM929839v1	Fusarium oxysporum		VPRI10351						47738081	Contig	2019-10-25	WGQA01
GCA_011035385.1	ASM1103538v1	Fusarium oxysporum		EthFoc-129						52330044	Scaffold	2020-02-27	WEWH01
GCA_009299295.1	ASM929929v1	Fusarium oxysporum		VPRI43195						49892518	Scaffold	2019-10-25	WGRZ01
GCA_011036045.1	ASM1103604v1	Fusarium oxysporum		EthFoc-42						53629309	Scaffold	2020-02-27	WEXT01
GCA_011036115.1	ASM1103611v1	Fusarium oxysporum		EthFoc-41						52195659	Scaffold	2020-02-27	WEXS01
GCA_009297445.1	ASM929744v1	Fusarium oxysporum		RBG5689						50524394	Contig	2019-10-25	WGOF01
GCA_009298925.1	ASM929892v1	Fusarium oxysporum		VPRI42339						56698362	Contig	2019-10-25	WGRR01
GCA_009298285.1	ASM929828v1	Fusarium oxysporum		VPRI10605						51386023	Scaffold	2019-10-25	WGQF01
GCA_011036125.1	ASM1103612v1	Fusarium oxysporum		EthFoc-40						51582286	Scaffold	2020-02-27	WEXR01
GCA_011036385.1	ASM1103638v1	Fusarium oxysporum		EthFoc-95						51825621	Scaffold	2020-02-27	WEYR01
GCA_009299135.1	ASM929913v1	Fusarium oxysporum		VPRI41884						52659765	Contig	2019-10-25	WGRD01
GCA_011033985.1	ASM1103398v1	Fusarium oxysporum		EtdFoc-203						55449268	Scaffold	2020-02-27	WETG01
GCA_011421365.1	ASM1142136v1	Fusarium oxysporum		EtdFoc-192						58312822	Scaffold	2020-03-18	WILA01
GCA_011035345.1	ASM1103534v1	Fusarium oxysporum		EthFoc-125						52781500	Scaffold	2020-02-27	WEWE01
GCA_011034635.1	ASM1103463v1	Fusarium oxysporum		EtdFoc-48						54514331	Scaffold	2020-02-27	WEUT01
GCA_009299335.1	ASM929933v1	Fusarium oxysporum		VPRI32289						57921869	Contig	2019-10-25	WGQW01
GCA_009298705.1	ASM929870v1	Fusarium oxysporum		VPRI41207						46891011	Contig	2019-10-25	WGQZ01
GCA_009298455.1	ASM929845v1	Fusarium oxysporum		VPRI17796						50030358	Scaffold	2019-10-25	WGQQ01
GCA_009297405.1	ASM929740v1	Fusarium oxysporum		RBG5783						51072846	Contig	2019-10-25	WGOH01
GCA_009298645.1	ASM929864v1	Fusarium oxysporum		VPRI41836						54529076	Contig	2019-10-25	WGRC01
GCA_011034775.1	ASM1103477v1	Fusarium oxysporum		EtdFoc-8						52620209	Scaffold	2020-02-27	WEVI01
GCA_009298615.1	ASM929861v1	Fusarium oxysporum		VPRI41778						54042605	Contig	2019-10-25	WGRB01
GCA_009297715.1	ASM929771v1	Fusarium oxysporum		RBG6448						48037246	Contig	2019-10-25	WGPL01
GCA_009297725.1	ASM929772v1	Fusarium oxysporum		RBG6425						50381361	Contig	2019-10-25	WGPF01
GCA_011036275.1	ASM1103627v1	Fusarium oxysporum		EthFoc-52						52284697	Scaffold	2020-02-27	WEXZ01
GCA_011034565.1	ASM1103456v1	Fusarium oxysporum		EtdFoc-259						53069360	Scaffold	2020-02-27	WEUJ01
GCA_011033815.1	ASM1103381v1	Fusarium oxysporum		EtdFoc-183						56201877	Scaffold	2020-02-27	WESW01
GCA_009298405.1	ASM929840v1	Fusarium oxysporum		VPRI10358						53849382	Scaffold	2019-10-25	WGQB01
GCA_009297495.1	ASM929749v1	Fusarium oxysporum		RBG6398						47808082	Contig	2019-10-25	WGOU01
GCA_011036505.1	ASM1103650v1	Fusarium oxysporum		EthFoc-81						55482964	Scaffold	2020-02-27	WEYK01
GCA_011034925.1	ASM1103492v1	Fusarium oxysporum		EtdFoc-87						52853434	Scaffold	2020-02-27	WEVK01
GCA_011035415.1	ASM1103541v1	Fusarium oxysporum		EthFoc-12						52844594	Scaffold	2020-02-27	WEWA01
GCA_009299195.1	ASM929919v1	Fusarium oxysporum		VPRI42888						52325364	Contig	2019-10-25	WGRV01
GCA_011036595.1	ASM1103659v1	Fusarium oxysporum		EthFoc-99						53282346	Scaffold	2020-02-27	WEYT01
GCA_009297925.1	ASM929792v1	Fusarium oxysporum		RBG6444						54435880	Contig	2019-10-25	WGPK01
GCA_009298985.1	ASM929898v1	Fusarium oxysporum		VPRI42198						50425478	Scaffold	2019-10-25	WGRN01
GCA_009298495.1	ASM929849v1	Fusarium oxysporum		VPRI16963						49565463	Contig	2019-10-25	WGQO01
GCA_011033375.1	ASM1103337v1	Fusarium oxysporum		EtdFoc-158						52123778	Scaffold	2020-02-27	WESO01
GCA_011034625.1	ASM1103462v1	Fusarium oxysporum		EtdFoc-46						53137715	Scaffold	2020-02-27	WEUR01
GCA_009297505.1	ASM929750v1	Fusarium oxysporum		RBG5862						50794938	Contig	2019-10-25	WGOM01
GCA_009299155.1	ASM929915v1	Fusarium oxysporum		VPRI43193						51140018	Contig	2019-10-25	WGRX01
GCA_009298315.1	ASM929831v1	Fusarium oxysporum		VPRI10408						49086552	Contig	2019-10-25	WGQE01
GCA_011034915.1	ASM1103491v1	Fusarium oxysporum		EtdFoc-55						54817118	Scaffold	2020-02-27	WEUX01
GCA_011036235.1	ASM1103623v1	Fusarium oxysporum		EthFoc-61						52471214	Scaffold	2020-02-27	WEYD01
GCA_011036545.1	ASM1103654v1	Fusarium oxysporum		EthFoc-78						51615397	Scaffold	2020-02-27	WEYI01
